id,command,character,imageFolderName,imageNum,mainText,setBranch,yesText,noText,choseYes,choseNo,skipID,eventFlag,checkNeedEventNum,eventNum,afterEventSkipID,chractorFunction,animFuncName,SEpath,,,,,
0,set_bgm,,,,,FALSE,,,,,,,,,,,,,,,,,
1,check_EventFlag,,,,,,,,,,2,TRUE,0,1,,,,,,,,,
2,fade_blackOut,,,,,,,,,,,,,,,,,,,,,,
4,fade_blackIn,,,,,,,,,,,,,,,,,,,,,,
5,set_text,マオ,Player,1,いただきまーす,FALSE,,,,,,,,,,,,,,,,,
6,set_text,マオ,Player,1,はむはむはむ,,,,,,,,,,,,,,,,,,
7,set_text,マオ,Player,1,もう、そんなに食べなくていいでしょう,,,,,,,,,,,,,,,,,,
8,set_text,マオ,Player,1,のどに詰まってもしりませんよ,,,,,,,,,,,,,,,,,,
9,set_text,マオ,Player,1,うっ,,,,,,,,,,,,,,,,,,
10,set_text,マオ,Player,1,ほら言わんこっちゃない。,,,,,,,,,,,,,,,,,,
11,set_text,マオ,Player,1,母さん、おかわりを頼む,,,,,,,,,,,,,,,,,,
12,set_text,マオ,Player,1,はいはい。ちょっと待っててね,,,,,,,,,,,,,,,,,,
13,set_text,マオ,Player,1,どうだい、うちの母さんの飯は,,,,,,,,,,,,,,,,,,
14,set_text,マオ,Player,1,おいしです,,,,,,,,,,,,,,,,,,
15,set_text,マオ,Player,1,そうだろ。俺はコイツのお陰でどんな力仕事も楽勝なんだ,,,,,,,,,,,,,,,,,,
16,set_text,マオ,Player,1,ほら、どうぞ。,,,,,,,,,,,,,,,,,,
17,set_text,マオ,Player,1,だったら少しは家のこともしてくれればいいのにね,,,,,,,,,,,,,,,,,,
18,set_text,マオ,Player,1,ま、まあ、それは俺の専門外だからな、、、,,,,,,,,,,,,,,,,,,
19,set_text,マオ,Player,1,そういえば、お嬢ちゃんはどうしてこの村に?,,,,,,,,,,,,,,,,,,
20,set_text,マオ,Player,1,たまたまです,,,,,,,,,,,,,,,,,,
21,set_text,マオ,Player,1,そう、たまたまぶつかっちまったんだ,,,,,,,,,,,,,,,,,,
22,set_text,マオ,Player,1,なら、目的地は別にあるみたいだな,,,,,,,,,,,,,,,,,,
23,set_text,マオ,Player,1,地上です,,,,,,,,,,,,,,,,,,
24,set_text,マオ,Player,1,地上！まじかよ！,,,,,,,,,,,,,,,,,,
25,set_text,マオ,Player,1,地上か、、、、,,,,,,,,,,,,,,,,,,
26,set_text,マオ,Player,1,そいつは大変だな,,,,,,,,,,,,,,,,,,
27,set_text,マオ,Player,1,俺の爺さんの代からもう誰も地上なんて見たことはねえ,,,,,,,,,,,,,,,,,,
28,set_text,マオ,Player,1,もちろん、アンタみたいな勇気のあるやつは大勢いたが,,,,,,,,,,,,,,,,,,
29,set_text,マオ,Player,1,まあ、結果はさんざんってやつだ,,,,,,,,,,,,,,,,,,
30,set_text,マオ,Player,1,でもでも、父ちゃん、絶対に地上はあるんだよな,,,,,,,,,,,,,,,,,,
31,set_text,マオ,Player,1,そりゃそうさ。俺たちの先祖様はそこから来たんだな,,,,,,,,,,,,,,,,,,
32,set_text,マオ,Player,1,けど、この硬い岩盤に囲まれた村からは、そう簡単にでることはできねえ、、、,,,,,,,,,,,,,,,,,,
33,set_text,マオ,Player,1,もちろん、あんたが先を目指すんなら、俺たちにできることは精一杯やるぜ,,,,,,,,,,,,,,,,,,
34,set_text,マオ,Player,1,さ、みんな、冷めないうちに食べて。まだまだたくさんあるから、おかわりはいくらでも,,,,,,,,,,,,,,,,,,
35,set_text,マオ,Player,1,じゃあおかわり！,,,,,,,,,,,,,,,,,,
36,set_text,マオ,Player,,,,,,,,,,,,,,,,,,,,
37,set_text,マオ,Player,,,,,,,,,,,,,,,,,,,,
38,set_text,マオ,Player,1,そういえばアンタ、故郷の家族はどうしてるんだい,,,,,,,,,,,,,,,,,,
39,set_text,マオ,Player,1,そうか……そいつはすまねえ。気を悪くしたなら謝るよ,,,,,,,,,,,,,,,,,,
40,set_text,マオ,Player,1,……だが実際、俺たちの村もゆくゆくはそうなるだろうな。,,,,,,,,,,,,,,,,,,
41,set_text,マオ,Player,1,年々採掘できる資源も減ってきている。それに、,,,,,,,,,,,,,,,,,,
42,set_text,マオ,Player,1,あのクソ化け物が採掘場に現れて、みんな困ってるんだ,,,,,,,,,,,,,,,,,,
43,set_text,マオ,Player,1,クソ化け物って？,,,,,,,,,,,,,,,,,,
44,set_text,マオ,Player,1,クソ化け物はクソ化け物さ！俺は見たことないんだけど、もう何人も襲われてるんだ！　,,,,,,,,,,,,,,,,,,
45,set_text,マオ,Player,1,"みんなそいつのせいで採掘場の奥にも行けないし、
だから俺たちは新しい堀場を探してるのさ",,,,,,,,,,,,,,,,,,
46,set_text,マオ,Player,1,でも資源は見つからない,,,,,,,,,,,,,,,,,,
47,set_text,マオ,Player,1,まあそんなところだ。浅い場所はもう全部掘り尽くしちまってるからな……。かと言って、奥には化け物……,,,,,,,,,,,,,,,,,,
48,set_text,マオ,Player,1,……っと、こんな話、飯時にするもんじゃあねえな,,,,,,,,,,,,,,,,,,
49,set_text,マオ,Player,1,"さて、今日はもう遅い。
あんたさえ良ければ、今日は家に泊まっていきな。",,,,,,,,,,,,,,,,,,
50,set_text,マオ,Player,1,母さん、確か、二階に使ってないベッドがあったよなあ,,,,,,,,,,,,,,,,,,
51,set_text,マオ,Player,1,ええ、＜仲間1の名前＞のお古ですけど、まだまだ綺麗よ,,,,,,,,,,,,,,,,,,
52,set_text,マオ,Player,1,"ならそれ、俺の部屋に移してもいいか？
なあ父ちゃん！　俺、もっと色々話したいんだよ",,,,,,,,,,,,,,,,,,
53,set_text,マオ,Player,1,そいつは俺に聞かれてもなあ,,,,,,,,,,,,,,,,,,
54,set_text,マオ,Player,1,いいよ,,,,,,,,,,,,,,,,,,
55,set_text,マオ,Player,1,よっしゃあ!,,,,,,,,,,,,,,,,,,
56,set_text,マオ,Player,1,"アンタ、コイツの言う事ばかり聞く必要はないぜ。
もし嫌だったら嫌だと言ってくれていい",,,,,,,,,,,,,,,,,,
57,set_text,マオ,Player,1,私も話がしたい,,,,,,,,,,,,,,,,,,
58,set_text,マオ,Player,1,"そうか。なら好きにするといい。
母さん、ベッドは後で俺が用意しておくよ",,,,,,,,,,,,,,,,,,
59,set_text,マオ,Player,1,"いいえお父さん、用意はこの子にさせます。
いいね",,,,,,,,,,,,,,,,,,
60,set_text,マオ,Player,1,アイアイサー！,,,,,,,,,,,,,,,,,,
61,set_text,マオ,Player,1,"なあ、お前は地上に出たいって言ってたよな。
もし外に出れたら、お前は何したいんだよ",,,,,,,,,,,,,,,,,,
62,set_text,マオ,Player,1,"俺は思いっきり走りたいんだ。
父ちゃんが言ってた。",,,,,,,,,,,,,,,,,,
63,set_text,マオ,Player,1,地上っていうのはだだっ広くて、どこまで走ったって続いているんだ。,,,,,,,,,,,,,,,,,,
64,set_text,マオ,Player,1,一度でもいいから、俺はそんな世界が見てみたい,,,,,,,,,,,,,,,,,,
65,set_text,マオ,Player,1,なら一緒に行こう,,,,,,,,,,,,,,,,,,
66,set_text,マオ,Player,1,……！　俺もそう言おうと思ってたんだ！,,,,,,,,,,,,,,,,,,
67,set_text,マオ,Player,1,なんだかお前となら行ける気がする……。 嘘じゃないぜ。俺の勘はよく当たるんだ,,,,,,,,,,,,,,,,,,
68,set_text,マオ,Player,1,だから……おれ、いくよ…… むにゃむにゃ……,,,,,,,,,,,,,,,,,,
69,set_text,マオ,Player,1,寝ちゃった,,,,,,,,,,,,,,,,,,
70,set_text,マオ,Player,1,お、やっと起きてきたぜ,,,,,,,,,,,,,,,,,,
71,set_text,マオ,Player,1,あら、おはよう。 さあ早く顔を洗ってきなさい。,,,,,,,,,,,,,,,,,,
72,set_text,マオ,Player,1,朝ごはんは出来てますから、みんなで食べましょう,,,,,,,,,,,,,,,,,,
73,set_text,マオ,Player,1,村長さんは？,,,,,,,,,,,,,,,,,,
74,set_text,マオ,Player,1,ごめんなさいね、あの人ったら忙しなくて。 朝一番に採掘場に行ってしまったの,,,,,,,,,,,,,,,,,,
75,set_text,マオ,Player,1,俺たちも後で行こうぜ。お前に見せたい物があるんだ！,,,,,,,,,,,,,,,,,,
76,set_text,マオ,Player,1,食べながら喋らないの！,,,,,,,,,,,,,,,,,,
77,set_text,マオ,Player,1,はーい,,,,,,,,,,,,,,,,,,
