id,command,character,imageFolderName,imageNum,mainText,setBranch,yesText,noText,choseYes,choseNo,skipID,eventFlag,checkNeedEventNum,eventNum,afterEventSkipID,chractorFunction,animFuncName,SEpath
0,set_bgm,,,,,FALSE,,,,,,,,,,,,
1,check_EventFlag,,,,,,,,,,2,TRUE,0,1,,,,
2,chara_func,,,,,,,,,,,,,,,StartEvent,,
3,chara_func,,,,,,,,,,,,,,,AdjustCamera,,
4,fade_blackOut,,,,,,,,,,,,,,,,,
5,play_sound,,,,,,,,,,,,,,,,,SE/Tool/Pickel
6,set_text,マオ,Player,1,(金属音が聞こえる・・・・),FALSE,,,,,,,,,,,,
7,chara_func,,,,,,,,,,,,,,,SpawnSyo_Field,,
8,fade_blackIn,,,,,,,,,,,,,,,,,
9,set_text,ショウ,BRDF,6,うお！なんだお前！,,,,,,,,,,,,,
10,set_text,ショウ,BRDF,1,モンスター！…じゃないよな,TRUE,違うよ,モンスターです,11,12,,,,,,,,
11,set_text,ショウ,BRDF,2,だよな。あ～びっくりした,,,,,,13,,,,,,,
12,set_text,ショウ,BRDF,6,嘘つけ！どう見ても人間だろ！,,,,,,13,,,,,,,
13,set_text,ショウ,BRDF,1,しっかし、村以外の人間なんて初めて見たな,,,,,,,,,,,,,
14,set_text,ショウ,BRDF,1,なあお前どっから来たん…ってやばい！,,,,,,,,,,,,,
15,play_sound,,,,,,,,,,,,,,,,,SE/Monster/Common_Roar
16,set_text,マオ,Player,6,(モンスターの鳴き声だ・・・！),,,,,,,,,,,,,
17,set_text,ショウ,BRDF,1,とりあえずここから離れようぜ！,,,,,,,,,,,,,
18,set_text,ショウ,BRDF,2,すぐ近くに俺たちが住んでる村があるんだ,,,,,,,,,,,,,
19,set_text,マオ,Player,1,(彼についていこう・・・),,,,,,,,,,,,,
20,fade_blackOut,,,,,,,,,,,,,,,,,
21,chara_func,,,,,,,,,,,,,,,Move2Village,,
22,chara_func,,,,,,,,,,,,,,,SpawnSyo_Story,,
23,fade_blackWait,,,,,,,,,,,,,,,,,
24,fade_blackIn,,,,,,,,,,,,,,,,,
25,set_text,ショウ,BRDF,1,……それで、お前はどうやってここに来たんだ?,,,,,,,,,,,,,
26,set_text,マオ,Player,1,(ここまでひたすら掘ってきたことを伝えた・・・),,,,,,,,,,,,,
27,set_text,ショウ,BRDF,6,お前一人でか？　そりゃすげえ,TRUE,すごいでしょ,大したことじゃない,28,29,,,,,,,,
28,set_text,ショウ,BRDF,2,ああ。並みの人間ならできっこねえ,,,,,,32,,,,,,,
29,set_text,ショウ,BRDF,3,いやすげーよ。俺なんて、一日中頑張ってもちっとも前に進まないんだ,,,,,,,,,,,,,
30,set_text,ショウ,BRDF,1,穴掘りっていうのは、なんかこう、コツみたいのがあるんだって父ちゃんは言ってたけど,,,,,,,,,,,,,
31,set_text,ショウ,BRDF,2,あんたはそれを知ってるんだろうな,,,,,,32,,,,,,,
32,set_text,ショウ,BRDF,2,なあ、俺にも穴の掘り方教えてくれないか？,,,,,,,,,,,,,
33,set_text,村長,Sontyo1,1,おーい,,,,,,,,,,,,,
34,chara_func,,,,,,,,,,,,,,,SpawnSontyo_Story,,
35,chara_func,,,,,,,,,,,,,,,SontyoMove,,
36,chara_func,,,,,,,,,,,,,,,,VecUp_Syo,
37,set_text,村長,Sontyo1,1,お前、また一人で採掘場に行ってたのか,,,,,,,,,,,,,
38,set_text,ショウ,BRDF,6,やべ、父ちゃんだ,,,,,,,,,,,,,
39,set_text,村長,Sontyo1,1,いつも言ってるだろう。危ねえから勝手に採掘場には近づくなって……,,,,,,,,,,,,,
40,set_text,村長,Sontyo1,1,そこのお嬢ちゃんは？,,,,,,,,,,,,,
41,set_text,ショウ,BRDF,1,掘ってたら出てきた,TRUE,違うよ！,モンスターです,42,42,,,,,,,,
42,set_text,村長,Sontyo1,1,もしかしてアンタ、一人で掘ってきたのか?,,,,,,,,,,,,,
43,set_text,マオ,Player,1,(これまでのことを伝えた・・・),,,,,,,,,,,,,
44,set_text,村長,Sontyo1,1,"……なるほど。すると別の村から来たのか。
よし、分かった。",,,,,,,,,,,,,
45,set_text,村長,Sontyo1,1,"アンタ、せっかくだから家に来ねえか。
俺はこう見えてもこの村の村長をやってるんだ。",,,,,,,,,,,,,
46,set_text,村長,Sontyo1,1,"外の村の人間なんざ、もうすっかり見ねえからな。
俺も色々と話を聞かせてもらいたい",,,,,,,,,,,,,
47,set_text,ショウ,BRDF,2,なあなあ！俺もその話、聞いていいよな？,,,,,,,,,,,,,
48,set_text,村長,Sontyo1,1,まあそう焦るな。この子がいいならな。,,,,,,,,,,,,,
49,set_text,村長,Sontyo1,1,見るところあまり食料の蓄えもないようだし、そのまま放っておく訳にもいかん,,,,,,,,,,,,,
50,play_sound,,,,,,,,,,,,,,,,,SE/Human/Stomach
51,set_text,マオ,Player,3,(そういえばだいぶおなかが減っている・・・),,,,,,,,,,,,,
52,set_text,村長,Sontyo1,1,"よし、一緒に来な。
ちょうど母さんが夕飯の支度を始める頃だ",,,,,,,,,,,,,
53,set_text,村長,Sontyo1,1,遠慮しなくていい。人間、困ったときはお互い様だろう？,,,,,,,,,,,,,
54,set_text,ショウ,BRDF,2,よっしゃあー！,,,,,,,,,,,,,
55,chara_func,,,,,,,,,,,,,,,CharaLeft,,
56,chara_func,,,,,,,,,,,,,,,EndEvent,,
57,end_talk,,,,,,,,,,,,,,,,,
